path,width,height,category,status,rule
assets/minecraft/textures/block/honeycomb_block_s.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/command_block_conditional_n.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/lectern_base.png,16,16,base,below_512,512-block-item
assets/minecraft/textures/block/sugar_cane_s.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/powered_rail_s.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/spruce_oak_log_s.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/deepslate_s.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/oak_log.png,16,16,base,below_512,512-block-item
assets/minecraft/textures/block/polished_diorite_n.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/mangrove_trapdoor_n.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/smooth_stone_slab_side.png,16,16,base,below_512,512-block-item
assets/minecraft/textures/block/dirt.png,16,16,base,below_512,512-block-item
assets/minecraft/textures/block/lava_still_s.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/campfire_log_lit.png,16,64,base,below_512,512-block-item
assets/minecraft/textures/block/white_glazed_terracotta.png,16,16,base,below_512,512-block-item
assets/minecraft/textures/block/lime_candle_lit.png,16,16,base,below_512,512-block-item
assets/minecraft/textures/block/weather_cut_copper_s.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/pointed_dripstone_down_tip_merge_n.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/sculk_n.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/dead_bubble_coral_block_n.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/crimson_trapdoor.png,16,16,base,below_512,512-block-item
assets/minecraft/textures/block/dark_oak_planks_n.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/bamboo_stalk_n.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/blast_furnace_front_s.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/daylight_detector_top.png,16,16,base,below_512,512-block-item
assets/minecraft/textures/block/brown_mushroom_block_s.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/damaged_anvil_top_n.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/spruce_log_top_s.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/oak_leaves_n.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/powder_snow.png,16,16,base,below_512,512-block-item
assets/minecraft/textures/block/dead_bush_n.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/honey_block_bottom_s.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/crafting_table_front_s.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/lava_flow_n.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/soul_sand_s.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/barrel_side_s.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/end_stone_bricks.png,16,16,base,below_512,512-block-item
assets/minecraft/textures/block/spawner_n.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/cartography_table_top.png,16,16,base,below_512,512-block-item
assets/minecraft/textures/block/birch_door_bottom.png,16,16,base,below_512,512-block-item
assets/minecraft/textures/block/cactus_side.png,16,16,base,below_512,512-block-item
assets/minecraft/textures/block/enchanting_table_side_n.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/podzol_side_s.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/exposed_copper_n.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/pearlescent_froglight_side_n.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/orange_stained_glass_pane_top.png,16,16,base,below_512,512-block-item
assets/minecraft/textures/block/cherry_log.png,16,16,base,below_512,512-block-item
assets/minecraft/textures/block/sand.png,16,16,base,below_512,512-block-item
assets/minecraft/textures/block/stripped_birch_log_s.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/raw_copper_block_s.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/mushroom_block_inside_s.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/cut_sandstone.png,16,16,base,below_512,512-block-item
assets/minecraft/textures/block/basalt_side_s.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/sculk_vein_s.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/chorus_flower_dead_n.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/chiseled_sandstone.png,16,16,base,below_512,512-block-item
assets/minecraft/textures/block/weeping_vines_plant.png,16,16,base,below_512,512-block-item
assets/minecraft/textures/block/purple_glazed_terracotta.png,16,16,base,below_512,512-block-item
assets/minecraft/textures/block/chipped_anvil_top.png,16,16,base,below_512,512-block-item
assets/minecraft/textures/block/cartography_table_side3_n.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/mycelium_side_s.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/purple_candle_lit.png,16,16,base,below_512,512-block-item
assets/minecraft/textures/block/smooth_stone_n.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/weathered_cut_copper.png,16,16,base,below_512,512-block-item
assets/minecraft/textures/block/lava_flow_s.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/scaffolding_side_n.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/budding_amethyst_n.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/furnace_top.png,16,16,base,below_512,512-block-item
assets/minecraft/textures/block/lime_concrete_powder.png,16,16,base,below_512,512-block-item
assets/minecraft/textures/block/coal_block.png,16,16,base,below_512,512-block-item
assets/minecraft/textures/block/dark_oak_log_top.png,16,16,base,below_512,512-block-item
assets/minecraft/textures/block/cut_red_sandstone_n.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/dirt_path_side_n.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/stripped_spruce_log_top_s.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/podzol_top_s.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/bamboo_block.png,16,16,base,below_512,512-block-item
assets/minecraft/textures/block/nether_gold_ore_s.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/campfire_log_lit_s.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/nether_bricks.png,16,16,base,below_512,512-block-item
assets/minecraft/textures/block/chiseled_quartz_block_n.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/command_block_front_n.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/sculk_vein_n.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/pumpkin_top_n.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/pointed_dripstone_up_base_n.png,16,16,pbr_map,below_512,512-block-item
assets/minecraft/textures/block/cactus_bottom_s.png,16,16,pbr_map,below_512,512-block-item
